Card_Id,Ink,Image,Cost,Inkable,Name,Type,Body_Text,Classifications,Lore,Willpower,Strength,Move_Cost,KeywordAbilities,Abilities
1_1,Amber,https://lorcana-api.com/images/ariel/on_human_legs/ariel-on_human_legs-large.png,4,True,Ariel - On Human Legs,Character,Voiceless - This character can't {e} to sing songs.,"Storyborn, Hero, Princess",2.0,4.0,3.0,,,['Voiceless']
1_10,Amber,https://lorcana-api.com/images/maximus/palace_horse/maximus-palace_horse-large.png,5,True,Maximus - Palace Horse,Character,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)

Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)","Storyborn, Ally",1.0,5.0,4.0,,"Bodyguard, Support","['Bodyguard', 'Support']"
1_103,Ruby,https://lorcana-api.com/images/abu/mischievous_monkey/abu-mischievous_monkey-large.png,3,True,Abu - Mischievous Monkey,Character,,"Storyborn, Ally",2.0,2.0,3.0,,,[]
1_104,Ruby,https://lorcana-api.com/images/aladdin/heroic_outlaw/aladdin-heroic_outlaw-large.png,7,True,Aladdin - Heroic Outlaw,Character,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Aladdin.) 

Daring Exploit - During your turn, whenever this character banishes another character in a challenge, you gain 2 lore and each opponent loses 2 lore","Floodborn, Hero",2.0,5.0,5.0,,Shift 5,"['Shift 5', 'Daring Exploit']"
1_105,Ruby,https://lorcana-api.com/images/aladdin/street_rat/aladdin-street_rat-large.png,3,True,Aladdin - Street Rat,Character,"Improvise - When you play this character, each opponent loses 1 lore.","Storyborn, Hero",1.0,2.0,2.0,,,['Improvise']
1_106,Ruby,https://lorcana-api.com/images/captain/colonel's_lieutenant/captain-colonel's_lieutenant-large.png,5,True,Captain - Colonel's Lieutenant,Character,,"Storyborn, Ally, Captain",1.0,5.0,6.0,,,[]
1_107,Ruby,https://lorcana-api.com/images/captain_hook/ruthless_pirate/captain_hook-ruthless_pirate-large.png,7,False,Captain Hook - Ruthless Pirate,Character,"Rush (This character can challenge the turn they're played.) 

You Coward! - While this character is exerted, opposing characters with Evasive gain Reckless. (They can't quest and must challenge if able.)","Storyborn, Villain, Pirate, Captain",2.0,5.0,5.0,,"Rush, Evasive, Reckless","['Rush', 'You Coward!']"
1_108,Ruby,https://lorcana-api.com/images/donald_duck/boisterous_fowl/donald_duck-boisterous_fowl-large.png,2,True,Donald Duck - Boisterous Fowl,Character,,Storyborn,1.0,3.0,2.0,,,[]
1_109,Ruby,https://lorcana-api.com/images/elsa/ice_surfer/elsa-ice_surfer-large.png,4,True,Elsa - Ice Surfer,Character,"That's No Blizzard! - Whenever you play a character named Anna, ready this character. This character can't quest for the rest of this turn.","Dreamborn, Hero, Queen, Sorcerer",1.0,4.0,3.0,,,"[""That's No Blizzard!""]"
1_11,Amber,https://lorcana-api.com/images/maximus/relentless_pursuer/maximus-relentless_pursuer-large.png,3,True,Maximus - Relentless Pursuer,Character,"Horse Kick - When you play this character, chosen character gets -2 {s} this turn.","Dreamborn, Ally",1.0,3.0,3.0,,,['Horse Kick']
1_110,Ruby,https://lorcana-api.com/images/gaston/arrogant_hunter/gaston-arrogant_hunter-large.png,2,True,Gaston - Arrogant Hunter,Character,Reckless (This character can't quest and must challenge each turn if able.) ,"Storyborn, Villain",0.0,2.0,4.0,,Reckless,['Reckless']
1_111,Ruby,https://lorcana-api.com/images/goofy/daredevil/goofy-daredevil-large.png,5,True,Goofy - Daredevil,Character,Evasive (Only characters with Evasive can challenge this character.),"Dreamborn, Hero",2.0,4.0,3.0,,Evasive,['Evasive']
1_112,Ruby,https://lorcana-api.com/images/lefou/instigator/lefou-instigator-large.png,2,True,Lefou - Instigator,Character,"Fan The Flames - When you play this character, ready chosen character. They can't quest for the rest of this turn.","Dreamborn, Ally",1.0,2.0,2.0,,,['Fan The Flames']
1_113,Ruby,https://lorcana-api.com/images/maleficent/monstrous_dragon/maleficent-monstrous_dragon-large.png,9,True,Maleficent - Monstrous Dragon,Character,"Dragon Fire - When you play this character, you may banish chosen character.","Storyborn, Villain, Dragon",2.0,5.0,7.0,,,['Dragon Fire']
1_114,Ruby,https://lorcana-api.com/images/maui/hero_to_all/maui-hero_to_all-large.png,5,True,Maui - Hero to All,Character,"Rush (This character can challenge the turn they're played.) 

Reckless (This character can't quest and must challenge each turn if able.) ","Storyborn, Hero, Deity",0.0,5.0,6.0,,"Rush, Reckless","['Rush', 'Reckless']"
1_115,Ruby,https://lorcana-api.com/images/mickey_mouse/brave_little_tailor/mickey_mouse-brave_little_tailor-large.png,8,True,Mickey Mouse - Brave Little Tailor,Character,Evasive (Only characters with Evasive can challenge this character.),"Dreamborn, Hero",4.0,5.0,5.0,,Evasive,['Evasive']
1_116,Ruby,https://lorcana-api.com/images/minnie_mouse/always_classy/minnie_mouse-always_classy-large.png,1,True,Minnie Mouse - Always Classy,Character,,"Storyborn, Hero",1.0,3.0,1.0,,,[]
1_117,Ruby,https://lorcana-api.com/images/moana/chosen_by_the_ocean/moana-chosen_by_the_ocean-large.png,5,True,Moana - Chosen by the Ocean,Character,"This Is Not Who You Are - When you play this character, you may banish chosen character named Te Ka.","Storyborn, Hero, Princess",2.0,6.0,2.0,,,['This Is Not Who You Are']
1_118,Ruby,https://lorcana-api.com/images/mulan/imperial_soldier/mulan-imperial_soldier-large.png,5,True,Mulan - Imperial Soldier,Character,"Lead By Example - During your turn, whenever this character banishes another character in a challenge, your other characters get +1 {l} this turn.","Storyborn, Hero, Princess",1.0,5.0,4.0,,,['Lead By Example']
1_119,Ruby,https://lorcana-api.com/images/peter_pan/fearless_fighter/peter_pan-fearless_fighter-large.png,3,False,Peter Pan - Fearless Fighter,Character,Rush (This character can challenge the turn they're played.) ,"Storyborn, Hero",1.0,2.0,3.0,,Rush,['Rush']
1_12,Amber,https://lorcana-api.com/images/mickey_mouse/true_friend/mickey_mouse-true_friend-large.png,3,True,Mickey Mouse - True Friend,Character,,"Storyborn, Hero",2.0,3.0,3.0,,,[]
1_120,Ruby,https://lorcana-api.com/images/pongo/ol'_rascal/pongo-ol'_rascal-large.png,4,True,Pongo - Ol' Rascal,Character,Evasive (Only characters with Evasive can challenge this character.) ,"Storyborn, Hero",2.0,3.0,2.0,,Evasive,['Evasive']
1_121,Ruby,https://lorcana-api.com/images/rapunzel/letting_down_her_hair/rapunzel-letting_down_her_hair-large.png,6,False,Rapunzel - Letting Down Her Hair,Character,"Tangle - When you play this character, each opponent loses 1 lore.","Dreamborn, Hero, Princess",2.0,4.0,5.0,,,['Tangle']
1_122,Ruby,https://lorcana-api.com/images/scar/fiery_usurper/scar-fiery_usurper-large.png,4,True,Scar - Fiery Usurper,Character,,"Dreamborn, Villain",1.0,3.0,5.0,,,[]
1_123,Ruby,https://lorcana-api.com/images/scar/shameless_firebrand/scar-shameless_firebrand-large.png,8,False,Scar - Shameless Firebrand,Character,"Shift 6 (You may pay 6 {i} to play this on top of one of your characters named Scar.) 

Rousing Speech - When you play this character, ready your characters with cost 3 or less. They can't quest for the rest of this turn.","Floodborn, Villain, King",1.0,6.0,6.0,,Shift 6,"['Shift 6', 'Rousing Speech']"
1_124,Ruby,https://lorcana-api.com/images/sergeant_tibbs/courageous_cat/sergeant_tibbs-courageous_cat-large.png,1,True,Sergeant Tibbs - Courageous Cat,Character,,"Storyborn, Ally",1.0,2.0,2.0,,,[]
1_125,Ruby,https://lorcana-api.com/images/stitch/abomination/stitch-abomination-large.png,6,True,Stitch - Abomination,Character,,"Storyborn, Hero, Alien",3.0,6.0,4.0,,,[]
1_126,Ruby,https://lorcana-api.com/images/te_ka/the_burning_one/te_ka-the_burning_one-large.png,6,False,Te Ka - The Burning One,Character,Reckless (This character can't quest and must challenge each turn if able.) ,"Storyborn, Villain, Deity",0.0,6.0,8.0,,Reckless,['Reckless']
1_127,Ruby,https://lorcana-api.com/images/tigger/wonderful_thing/tigger-wonderful_thing-large.png,6,True,Tigger - Wonderful Thing,Character,Evasive (Only characters with Evasive can challenge this character.) ,"Storyborn, Tigger",2.0,4.0,4.0,,Evasive,['Evasive']
1_13,Amber,https://lorcana-api.com/images/minnie_mouse/beloved_princess/minnie_mouse-beloved_princess-large.png,2,True,Minnie Mouse - Beloved Princess,Character,,"Dreamborn, Princess",1.0,3.0,2.0,,,[]
